㷫	㷫 用微火烘东西
冇	冇 ①没有②没有
叹	叹 ①称赞②享受
吊	吊 ①悬挂②打汲
呻	呻 ①呻吟②念叨
命	命 ①命运②生命
唞	唞 ①休息②解开
善	善 死（忌讳语）
喼	喼 手提的扁箱子
嚡	嚡 ①不平滑②痒
壳	壳 ①勺儿②外壳
妒	妒 用话语嘲弄人
废	废 没用，骂人语
影	影 ①影子②影射
恒	恒 植物种子饱满
恤	恤 （借字）强迫
扽	扽 猛然用力一拉
抽	抽 双手提起东西
数	数 ①骂人②计算
朝	朝 ①早饭②早上
林	林 草丛、小树丛
泡	泡 ①泡沫②冲淡
洞	洞 莽撞地走进去
爱	爱 ①将要②亲爱
眼	眼 ①眼睛②小孔
窜	窜 气味有刺激性
簏	簏 家畜住的地方
簕	簕 ①骨刺②荆棘
粗	粗 粗糙、不精细
粪	粪 屎、尿等肥料
耷	耷 物体弯曲向下
行	行 走，慢步前进
衲	衲 夹衣，棉内衣
识	识 认识、懂、知
踭	踭 脚跟或胳臂弯
逳	逳 ①动②碰、弄
链	链 ①发条②链条
颓	颓 笨，没有手艺
饮	饮 ①大米汤②喝
𠕳	𠕳 用勺子舀液体
𠳞	𠳞 他的、他们的
𢱑	𢱑 用手抓挖东西
𢲈	𢲈 阻住不使移动
㓷	㓷 ①咬②来回割切
丑	丑 ①样子难看②羞
凝	凝 ①遇冷凝结②澄
噏	噏 口腔不断地开合
嚣	嚣 刻薄，气焰嚣张
岩	岩 很靠边缘的状态
崇	崇 缩头缩脑的状态
崩	崩 器物缺了一个口
手	手 肩膀以下全叫手
拧	拧 ①拿、拈②转动
搪	搪 拨开糊状的东西
摐	摐 用拳或棍棒直击
擘	擘 ①张开②剥、掰
梇	梇 门闸的粗木或铁
椊	椊 ①塞、挡②塞子
江	江 帮、群（量词）
沓	沓 ①叠起来②量词
浓	浓 生长茂盛的状态
涌	涌 海潮可通的河沟
滚	滚 ①沸、开②翻滚
潲	潲 洗米水、刷锅水
瓯	瓯 较深、较大的碗
皲	皲 手脚冻裂的小缝
糍	糍 糯米粉做的饼食
纳	纳 勾连起来，勾搭
绥	绥 布边破烂不整齐
缗	缗 元（货币计量）
耕	耕 ①山岭间②梯级
聂	聂 盖得很严，没缝
胀	胀 ①饱、涨满②憋
茜	茜 金鱼水草的一种
莍	莍 计算丛生的东西
落	落 ①下②中饱私囊
蒲	蒲 ①浮在水面②起
蚌	蚌 淡水贝类的一种
轮	轮 火蔓延叫“轮”
鎅	鎅 锯、割、切、裁
雷	雷 摔跤时头部先下
霉	霉 腐烂的、发霉的
飒	飒 放人洞中或缝中
饭	饭 大米煮成的干饭
𡌶	𡌶 泥浆，同“湴”
𢯭	𢯭 ①看管②和、跟
㨂	㨂 用棍状物尖端直捣
䠥	䠥 跛、瘸，同“尯”
倾	倾 ①倒在一起②闲谈
兵	兵 大力把身体挤进去
垅	垅 平地高起的长土堆
垽	垽 水里污积物或油积
天	天 天空、上空、青天
好	好 ①很②喜欢，爱好
当	当 ①典当、押②当作
扤	扤 ①按、摁②向、照
挢	挢 横着抹、拭汗或水
掹	掹 扳，往下或往里拉
揞	揞 用手掌捂住、盖住
揿	揿 ①按压、按下②压
摷	摷 捉鱼虾水产的网兜
擳	擳 搔、挠以使人发笑
晏	晏 ①午饭②不早、迟
晚	晚 ①晚上②晚饭③迟
涮	涮 ①洗刷②打③批评
溜	溜 引诱、诱惑、招惹
炊	炊 与“蒸”是同义词
烘	烘 ①热②发火、发怒
焙	焙 放在炉火旁边烘烤
爆	爆 ①炸②裂开③公开
爪	爪 ①用爪扒物②爪子
牛	牛 引申义是蛮不讲理
猪	猪 未成熟的雌性小猪
甜	甜 ①糖味②鲜美，鲜
窿	窿 洞，也写作“䆔”
细	细 小，相对于“大”
绒	绒 呢子、毛料纺织品
续	续 ①找补钱②接起来
翼	翼 ①翅膀②鲨鱼的鳍
脌	脌 ①乳房②乳汁、奶
芊	芊 芋头旁边的小芋头
虚	虚 血气亏损叫“虚”
蚶	蚶 丝蚶、毛蚶等贝类
衫	衫 上衣和裤子，衣服
装	装 ①偷窥②载③假装
襻	襻 ①蔓延②横的布带
躀	躀 ①跌②用手掌横击
连	连 ①缝②相连、连接
阔	阔 ①宽、宽广②阔气
面	面 ①脸②面条、面粉
颈	颈 ①脖子②代表性格
𢆡	𢆡 ①乳房②乳汁、奶
𢩦	𢩦 搔、挠以使人发笑
傤	傤 一船货叫“一儎货”
吐	吐 倒，从器物中倒出来
啜	啜 ①吸食果子瓤②接吻
啱	啱 ①正确②适合③相好
喉	喉 ①喉咙、喉头②管子
噷	噷 表示愤恨，不以为然
墣	墣 田里用犁翻起的土块
墱	墱 阶梯一级叫“一墱”
实	实 ①十分、的确②一定
